location_id,city,latitude,longitude,recommendation_score,weighted_score,annual_roi,risk_score,estimated_monthly_revenue,monthly_profit,key_strengths,potential_concerns
LOC0052,New York,40.91703964227141,-73.95748248947704,1246.938504217205,61.10770041652911,30.183879260394573,24.298731825949147,1330209.9281204208,503064.65433990955,"['High-income demographics', 'Low competition']",['Limited parking']
LOC0005,Houston,29.793526343140357,-95.27224548728776,1171.9568727348249,52.901938179720425,28.37917502040687,21.854516766690658,1245851.5937155492,472986.25034011446,['High foot traffic'],[]
LOC0410,Phoenix,33.4181114756201,-111.93939002054857,1028.9358275736195,52.13578115690204,24.88033233756036,35.658891957779744,1116085.0647692066,414672.205626006,['High-income demographics'],['Limited parking']
LOC0322,Houston,29.823612094722783,-95.43207475600019,907.8941592150559,60.14551767046528,21.63883693470258,8.587626206167316,967201.800775201,360647.2822450431,"['High-income demographics', 'Low competition', 'Excellent accessibility']",[]
LOC0252,Chicago,41.97134348709547,-87.67131002889634,819.6825577672273,51.087658116493515,19.66452105438991,36.666738274832895,945037.1554681561,327742.0175731651,"['High-income demographics', 'Low competition']","['Limited highway access', 'Limited parking']"
LOC0440,Chicago,42.07018744192103,-87.57651917135432,750.6065766031005,51.214717199571666,17.874846439805882,24.36583934481746,808376.8399570814,297914.10733009805,['High-income demographics'],[]
LOC0345,New York,40.62289609378781,-74.04181784041377,692.4490008881471,59.52502158576468,16.283108853986935,13.426809528180954,738278.6646010831,271385.1475664489,"['High-income demographics', 'Low competition', 'Excellent accessibility']",[]
LOC0102,Houston,29.730845875985345,-95.35456844864234,674.2155245974955,50.22892327075249,16.025400591489397,34.46034185190745,771056.7534113991,267090.0098581566,['High-income demographics'],['Limited parking']
LOC0338,Los Angeles,33.96579300479119,-118.26776624604376,660.0987181014416,51.54643468044536,15.612020011142723,25.003281082227858,713619.396406843,260200.33351904538,"['High-income demographics', 'Excellent accessibility']",[]
LOC0034,Chicago,41.93473401305191,-87.54661818238948,649.4178214878224,54.80876818899905,15.262916091023008,15.111647143487682,679205.036490422,254381.9348503835,"['High-income demographics', 'Excellent accessibility']",[]
