date,product_id,product_name,category,price,base_price,units_sold,revenue,competitor_price,inventory_level,marketing_spend,price_elasticity,seasonal_multiplier,market_factor
2023-01-01,P001,Home Product 1,Home,162.8403661325755,190.56428757689247,132,21494.928329499966,157.10980081525278,489,133.1982526190795,-1.092797576724562,1.003442671231167,1.020791169081776
2023-01-02,P001,Home Product 1,Home,194.9487827244743,190.56428757689247,112,21834.263665141123,186.20491557748673,273,917.4392973699884,-1.092797576724562,1.0068843223245492,1.04067366430758
2023-01-03,P001,Home Product 1,Home,154.98001989839457,190.56428757689247,137,21232.26272608006,150.9823919830112,373,172.7679936994437,-1.092797576724562,1.0103239334446508,1.0587785252292474
2023-01-04,P001,Home Product 1,Home,166.4547667514866,190.56428757689247,126,20973.30061068731,171.5006724956184,374,669.0752475342215,-1.092797576724562,1.013760485360464,1.0743144825477393
2023-01-05,P001,Home Product 1,Home,198.4532630830722,190.56428757689247,95,18853.059992891856,189.3397959183403,197,393.36301468169626,-1.092797576724562,1.0171929597474894,1.0866025403784438
2023-01-06,P001,Home Product 1,Home,195.0963531569235,190.56428757689247,103,20094.924375163122,201.1346056969346,197,680.6555113685049,-1.092797576724562,1.020620339489487,1.0951056516295155
2023-01-07,P001,Home Product 1,Home,191.759949286912,190.56428757689247,118,22627.674015855613,184.80905275009877,490,202.12616911653015,-1.092797576724562,1.0240416089798705,1.0994521895368274
2023-01-08,P001,Home Product 1,Home,237.9566262413394,190.56428757689247,87,20702.226482996528,232.19668687910223,301,257.45943438634254,-1.092797576724562,1.027455754422653,1.0994521895368274
2023-01-09,P001,Home Product 1,Home,210.33146951957775,190.56428757689247,101,21243.478421477354,218.3795159550389,58,350.9842173329637,-1.092797576724562,1.0308617641328561,1.0951056516295155
2023-01-10,P001,Home Product 1,Home,225.68386127600238,190.56428757689247,98,22117.01840504823,233.72552548175088,103,801.8879912718614,-1.092797576724562,1.0342586288362956,1.0866025403784438
2023-01-11,P001,Home Product 1,Home,163.37783222674665,190.56428757689247,134,21892.629518384052,155.29163567505222,433,374.8274743099541,-1.092797576724562,1.0376453419686489,1.0743144825477395
2023-01-12,P001,Home Product 1,Home,186.09589167470605,190.56428757689247,105,19540.068625844135,195.29754191468342,210,116.26782725396879,-1.092797576724562,1.0410208999737238,1.0587785252292474
